"season_name","total_points","rank","id"
"2020/21",1961,2997743,"2564951"
"2021/22",1950,3271797,"2564951"
"2022/23",1825,7278681,"2564951"
"2023/24",1681,8451528,"2564951"
"2008/09",1843,183769,"2565192"
"2009/10",2265,32335,"2565192"
"2010/11",1779,710140,"2565192"
"2011/12",1976,214459,"2565192"
"2012/13",2147,32377,"2565192"
"2013/14",2024,946272,"2565192"
"2014/15",2038,130700,"2565192"
"2015/16",2193,48026,"2565192"
"2016/17",2120,190993,"2565192"
"2017/18",2238,61860,"2565192"
"2018/19",2208,242611,"2565192"
"2019/20",2178,396464,"2565192"
"2020/21",2416,64037,"2565192"
"2021/22",2388,341867,"2565192"
"2022/23",2398,666307,"2565192"
"2023/24",2482,107450,"2565192"
"2013/14",2082,712840,"824491"
"2014/15",1607,2074084,"824491"
"2015/16",2015,565803,"824491"
"2016/17",1732,2284978,"824491"
"2017/18",1771,3036350,"824491"
"2018/19",1602,5154399,"824491"
"2019/20",1996,1938081,"824491"
"2020/21",1799,4503539,"824491"
"2021/22",2046,2373880,"824491"
"2022/23",2003,5209118,"824491"
"2023/24",1773,7528444,"824491"
"2008/09",1730,444658,"646361"
"2009/10",1781,1049549,"646361"
"2010/11",1822,545322,"646361"
"2011/12",1637,1505328,"646361"
"2012/13",1934,418441,"646361"
"2013/14",1864,1527749,"646361"
"2014/15",1900,586414,"646361"
"2015/16",2049,406671,"646361"
"2016/17",2149,134596,"646361"
"2017/18",1899,2024940,"646361"
"2018/19",1998,1906519,"646361"
"2019/20",1855,3632691,"646361"
"2020/21",1857,3989902,"646361"
"2021/22",2107,1866170,"646361"
"2022/23",1882,6655051,"646361"
"2014/15",1493,2586747,"2955410"
"2015/16",1581,2640688,"2955410"
"2016/17",1860,1423456,"2955410"
"2017/18",1539,4574574,"2955410"
"2018/19",1932,2713380,"2955410"
"2019/20",1621,5880667,"2955410"
"2020/21",1896,3624486,"2955410"
"2021/22",2043,2403624,"2955410"
"2022/23",1817,7362529,"2955410"
"2023/24",1609,8991240,"2955410"
"2018/19",1929,2751830,"2955408"
"2019/20",1913,2924848,"2955408"
"2020/21",1907,3520843,"2955408"
"2021/22",1907,3701999,"2955408"
"2022/23",1749,8035416,"2955408"
"2023/24",1980,5031187,"2955408"
"2013/14",1722,1958144,"19690"
"2014/15",1632,1953710,"19690"
"2015/16",1449,3068069,"19690"
"2016/17",1656,2761081,"19690"
"2017/18",1799,2820079,"19690"
"2018/19",1700,4728401,"19690"
"2019/20",1856,3618420,"19690"
"2020/21",1837,4168576,"19690"
"2021/22",1903,3737839,"19690"
"2022/23",1948,5882363,"19690"
"2007/08",2115,45991,"2957407"
"2008/09",1757,373570,"2957407"
"2009/10",2188,86877,"2957407"
"2010/11",1905,275764,"2957407"
"2011/12",1885,481501,"2957407"
"2012/13",1940,399836,"2957407"
"2013/14",2071,759359,"2957407"
"2014/15",1632,1954385,"2957407"
"2015/16",1712,2171148,"2957407"
"2016/17",1820,1693622,"2957407"
"2017/18",1925,1802965,"2957407"
"2018/19",2016,1688766,"2957407"
"2019/20",1946,2520861,"2957407"
"2020/21",1808,4423728,"2957407"
"2021/22",1706,5746358,"2957407"
"2022/23",1677,8660450,"2957407"
"2023/24",1812,7070398,"2957407"
"2013/14",1766,1828879,"705479"
"2014/15",1829,954264,"705479"
"2015/16",1792,1826284,"705479"
"2016/17",2193,74441,"705479"
"2017/18",2080,601320,"705479"
"2018/19",1930,2739205,"705479"
"2019/20",1898,3105466,"705479"
"2020/21",2056,2090208,"705479"
"2021/22",1849,4297865,"705479"
"2022/23",1695,8512482,"705479"
"2023/24",1972,5128057,"705479"
