"event","points","total_points","rank","rank_sort","overall_rank","percentile_rank","bank","value","event_transfers","event_transfers_cost","points_on_bench","id"
1,41,41,8019956,8105545,8019944,85,75,1000,0,0,4,"4580261"
2,37,78,9136715,9178162,8626095,85,75,998,0,0,2,"4580261"
3,73,151,222418,225671,4733955,5,75,995,2,0,3,"4580261"
4,37,188,11367704,11370803,7724165,100,74,995,1,0,14,"4580261"
1,59,59,3111857,3131999,3111856,35,35,1000,0,0,3,"645239"
2,30,89,10187664,10189928,7467022,95,35,1000,0,0,3,"645239"
3,41,130,7987946,7994215,7718431,75,35,1001,0,0,0,"645239"
4,44,174,10869307,10869456,8761617,95,43,1000,3,0,2,"645239"
1,61,61,2607688,2624519,2607687,30,45,1000,0,0,1,"603883"
2,80,141,211844,212548,184579,5,45,1001,1,0,5,"603883"
3,42,183,7633106,7639136,636314,70,45,1001,0,0,1,"603883"
4,59,242,7300033,7305900,1388973,65,34,1003,0,0,0,"603883"
1,41,41,8019956,8148227,8019944,85,75,1000,0,0,10,"6755929"
2,50,91,5479611,5577242,7170947,55,75,1000,0,0,10,"6755929"
3,36,127,9618239,9656882,8039292,90,65,997,1,0,6,"6755929"
4,57,184,8098140,8152655,8046976,70,58,995,1,0,10,"6755929"
1,49,49,6072149,6091286,6072139,65,90,1000,0,0,2,"610154"
2,62,111,2183234,2188186,3324047,25,90,1001,1,0,1,"610154"
3,43,154,7431533,7436980,4217967,70,79,1002,1,0,15,"610154"
4,59,213,7460062,7465870,4865105,65,64,1006,1,0,6,"610154"
1,71,71,838026,838265,838026,10,5,1000,0,0,1,"20972"
2,49,120,5811696,5812253,1688590,55,5,999,0,0,6,"20972"
3,62,182,1218279,1218412,682370,15,5,1000,0,0,2,"20972"
4,66,248,4876480,4876717,949574,45,5,1000,0,0,2,"20972"
1,47,47,6639003,6782195,6638992,75,75,1000,0,0,1,"5016915"
2,34,81,9677273,9711352,8380206,95,75,998,0,0,0,"5016915"
3,58,139,2053853,2096337,6599891,20,75,994,0,0,1,"5016915"
4,61,200,6876836,6900996,6485771,60,68,995,2,0,2,"5016915"
1,50,50,5781366,5801800,5781357,65,20,1000,0,0,5,"644423"
2,36,86,9439130,9442511,7917169,90,20,1000,1,0,3,"644423"
3,31,117,10587410,10589308,8806114,95,30,1000,1,0,13,"644423"
4,49,166,9987126,9990151,9200996,90,29,999,0,0,6,"644423"
